Origin_Airport,Origin_City,Origin_State,Origin_Country,Destination_Airport,Destination_City,Destination_State,Destination_Country,Airline Name,delay
Pittsburgh International,Pittsburgh,PA,USA,McCarran International,Las Vegas,NV,USA,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),28
Port Columbus Intl,Columbus,OH,USA,Tampa International,Tampa,FL,USA,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),28
Ronald Reagan Washington National,Arlington,VA,USA,Chicago O'Hare International,Chicago,IL,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),28
Ronald Reagan Washington National,Arlington,VA,USA,Louisville International-Standiford,Louisville,KY,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),28
Salt Lake City Intl,Salt Lake City,UT,USA,Yakima Air Terminal,Yakima,WA,USA,Skywest Airlines Inc.,28
Southwest Florida International,Ft. Myers,FL,USA,Orlando International,Orlando,FL,USA,Delta Air Lines Inc.,28
Blue Grass,Lexington,KY,USA,Greater Peoria Regional,Peoria,IL,USA,Skywest Airlines Inc.,26
Charlotte/Douglas International,Charlotte,NC,USA,Raleigh-Durham International,Raleigh,NC,USA,Continental Air Lines Inc.,26
Cleveland-Hopkins Intl,Cleveland,OH,USA,Baltimore-Washington International,Baltimore,MD,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),26
Cleveland-Hopkins Intl,Cleveland,OH,USA,Minneapolis-St Paul Intl,Minneapolis,MN,USA,Continental Air Lines Inc.,26
Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,McGhee-Tyson,Knoxville,TN,USA,American Airlines Inc.,26
Denver Intl,Denver,CO,USA,Los Angeles International,Los Angeles,CA,USA,Northwest Airlines Inc.,26
El Paso International,El Paso,TX,USA,Ontario International,Ontario,CA,USA,American Airlines Inc.,26
Friedman Memorial,Hailey,ID,USA,Joslin Field - Magic Valley,Twin Falls,ID,USA,Skywest Airlines Inc.,26
Gen Edw L Logan Intl,Boston,MA,USA,Phoenix Sky Harbor International,Phoenix,AZ,USA,JetBlue Airways,26
Greater Rochester Int'l,Rochester,NY,USA,Orlando International,Orlando,FL,USA,Comair Inc.,26
